data;volume_Quantidade
2025-09-28;14.866092622213403
2025-09-29;110.08699253765457
2025-09-30;79.70414676858611
2025-10-01;91.9325658459484
2025-10-02;181.44032107300592
2025-10-03;184.11595581402716
2025-10-04;241.564182928728
2025-10-05;26.51383176621733
2025-10-06;115.22693922167436
2025-10-07;155.20619441632456
2025-10-08;198.7199464548156
2025-10-09;162.36031207456404
2025-10-10;208.895323421889
2025-10-11;177.8699434220867
2025-10-12;22.095249257221294
2025-10-13;156.47835704641545
2025-10-14;127.67493381385934
2025-10-15;126.88678701419043
2025-10-16;167.08715757799536
2025-10-17;267.9452193423532
2025-10-18;145.02383684811213
2025-10-19;20.69620128294327
2025-10-20;91.34968301943526
2025-10-21;140.42920614453726
2025-10-22;170.71365555329484
2025-10-23;191.54312026981435
2025-10-24;166.1398837565866
2025-10-25;124.00258575584816
2025-10-26;31.83659684983618
2025-10-27;89.64421893598599
