data;volume_Quantidade
2025-09-28;69.422419322984
2025-09-29;82.95691126623176
2025-09-30;116.42379202748967
2025-10-01;122.9797422138532
2025-10-02;130.29329620010256
2025-10-03;155.34729027650448
2025-10-04;171.8168850206668
2025-10-05;62.545078462646515
2025-10-06;108.49053306749235
2025-10-07;92.99196990215879
2025-10-08;110.21412479581832
2025-10-09;117.25588490220315
2025-10-10;128.23085301474478
2025-10-11;139.7282169041086
2025-10-12;60.01634320174307
2025-10-13;88.3027792688926
2025-10-14;87.35568384736658
2025-10-15;107.27295917902065
2025-10-16;127.00880802216318
2025-10-17;135.25303073667413
2025-10-18;121.82148664133582
2025-10-19;62.64784023935657
2025-10-20;90.01723575887524
2025-10-21;91.46046441262322
2025-10-22;89.79176188542496
2025-10-23;107.92285792852468
2025-10-24;123.90436306106562
2025-10-25;150.9544539076605
2025-10-26;52.968167183009996
2025-10-27;82.55598753796028
