data;vendas;tipo;forecast_horizon;vendas_acumuladas
2025-09-03;52141.54;historico;0;52141.54
2025-09-04;40829.54;historico;0;92971.08
2025-09-05;99954.45;historico;0;192925.53
2025-09-06;0.0;historico;0;192925.53
2025-09-07;0.0;historico;0;192925.53
2025-09-08;49102.52;historico;0;242028.05
2025-09-09;62533.93;historico;0;304561.98
2025-09-10;47754.78;historico;0;352316.76
2025-09-11;88661.35;historico;0;440978.11
2025-09-12;147424.43;historico;0;588402.54
2025-09-13;0.0;historico;0;588402.54
2025-09-14;0.0;historico;0;588402.54
2025-09-15;104300.57;historico;0;692703.1100000001
2025-09-16;43413.32;historico;0;736116.43
2025-09-17;72046.44;historico;0;808162.8700000001
2025-09-18;79386.48;historico;0;887549.3500000001
2025-09-19;138136.91;historico;0;1025686.2600000001
2025-09-20;0.0;historico;0;1025686.2600000001
2025-09-21;0.0;historico;0;1025686.2600000001
2025-09-22;97745.88;historico;0;1123432.1400000001
2025-09-23;74320.55;historico;0;1197752.6900000002
2025-09-24;23861.84;historico;0;1221614.5300000003
2025-09-25;99152.99;historico;0;1320767.5200000003
2025-09-26;210582.45;historico;0;1531349.9700000002
2025-09-27;15897.6;historico;0;1547247.5700000003
2025-09-28;0.0;historico;0;1547247.5700000003
2025-09-29;95536.21;historico;0;1642783.7800000003
2025-09-30;435443.53;historico;0;2078227.3100000003
2025-10-01;22273.31;historico;0;2100500.62
2025-10-02;0.0;historico;0;2100500.62
2025-10-03;51778.44;historico;0;2152279.06
2025-10-04;1.3969093464838664;previsao;30;2152280.4569093464
2025-10-04;1.3969093464838664;previsao;90;2152280.4569093464
2025-10-04;1.3969093464838664;previsao;60;2152280.4569093464
2025-10-05;0.0;previsao;30;2152280.4569093464
2025-10-05;0.0;previsao;90;2152280.4569093464
2025-10-05;0.0;previsao;60;2152280.4569093464
2025-10-06;52254.938055554834;previsao;90;2204535.3949649013
2025-10-06;52254.938055554834;previsao;30;2204535.3949649013
2025-10-06;52254.938055554834;previsao;60;2204535.3949649013
2025-10-07;62617.203077064434;previsao;60;2267152.5980419656
2025-10-07;62617.203077064434;previsao;30;2267152.5980419656
2025-10-07;62617.203077064434;previsao;90;2267152.5980419656
2025-10-08;87719.52701486307;previsao;60;2354872.125056829
2025-10-08;87719.52701486307;previsao;90;2354872.125056829
2025-10-08;87719.52701486307;previsao;30;2354872.125056829
2025-10-09;56120.43041556243;previsao;30;2410992.555472391
2025-10-09;56120.43041556243;previsao;60;2410992.555472391
2025-10-09;56120.43041556243;previsao;90;2410992.555472391
2025-10-10;103813.84185814846;previsao;60;2514806.3973305398
2025-10-10;103813.84185814846;previsao;90;2514806.3973305398
2025-10-10;103813.84185814846;previsao;30;2514806.3973305398
2025-10-11;0.0;previsao;60;2514806.3973305398
2025-10-11;0.0;previsao;30;2514806.3973305398
2025-10-11;0.0;previsao;90;2514806.3973305398
2025-10-12;0.0;previsao;90;2514806.3973305398
2025-10-12;0.0;previsao;60;2514806.3973305398
2025-10-12;0.0;previsao;30;2514806.3973305398
2025-10-13;70165.91234230911;previsao;90;2584972.309672849
2025-10-13;70165.91234230911;previsao;30;2584972.309672849
2025-10-13;70165.91234230911;previsao;60;2584972.309672849
2025-10-14;106684.92513954244;previsao;30;2691657.234812391
2025-10-14;106684.92513954244;previsao;90;2691657.234812391
2025-10-14;106684.92513954244;previsao;60;2691657.234812391
2025-10-15;85068.63146081433;previsao;90;2776725.8662732053
2025-10-15;85068.63146081433;previsao;30;2776725.8662732053
2025-10-15;85068.63146081433;previsao;60;2776725.8662732053
2025-10-16;88955.51182410977;previsao;90;2865681.378097315
2025-10-16;88955.51182410977;previsao;30;2865681.378097315
2025-10-16;88955.51182410977;previsao;60;2865681.378097315
2025-10-17;113182.27634035764;previsao;90;2978863.6544376723
2025-10-17;113182.27634035764;previsao;60;2978863.6544376723
2025-10-17;113182.27634035764;previsao;30;2978863.6544376723
2025-10-18;0.0;previsao;30;2978863.6544376723
2025-10-18;0.0;previsao;60;2978863.6544376723
2025-10-18;0.0;previsao;90;2978863.6544376723
2025-10-19;0.0;previsao;60;2978863.6544376723
2025-10-19;0.0;previsao;30;2978863.6544376723
2025-10-19;0.0;previsao;90;2978863.6544376723
2025-10-20;59025.21578794399;previsao;30;3037888.8702256163
2025-10-20;59025.21578794399;previsao;60;3037888.8702256163
2025-10-20;59025.21578794399;previsao;90;3037888.8702256163
2025-10-21;72974.6321506131;previsao;30;3110863.5023762295
2025-10-21;72974.6321506131;previsao;60;3110863.5023762295
2025-10-21;72974.6321506131;previsao;90;3110863.5023762295
2025-10-22;91670.35405932963;previsao;60;3202533.856435559
2025-10-22;91670.35405932963;previsao;90;3202533.856435559
2025-10-22;91670.35405932963;previsao;30;3202533.856435559
2025-10-23;101652.93826329618;previsao;30;3304186.7946988554
2025-10-23;101652.93826329618;previsao;60;3304186.7946988554
2025-10-23;101652.93826329618;previsao;90;3304186.7946988554
2025-10-24;128851.28899092256;previsao;30;3433038.083689778
2025-10-24;128851.28899092256;previsao;90;3433038.083689778
2025-10-24;128851.28899092256;previsao;60;3433038.083689778
2025-10-25;0.0;previsao;60;3433038.083689778
2025-10-25;0.0;previsao;90;3433038.083689778
2025-10-25;0.0;previsao;30;3433038.083689778
